,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1984-01-01,25290.0,25800.0,29950.0,25820.0,19790.0,19980.0,28880.0,21090.0,23750.0,22770.0,19860.0,24630.0,17680.0,18950.0,20650.0,29710.0,26960.0,22970.0,24440.0,15430.0,20780.0,19540.0,21400.0,25780.0,25910.0,27780.0,20630.0,22030.0,20570.0,20770.0,23120.0,21150.0,21400.0,20350.0,21610.0,20310.0,19410.0,16780.0,23020.0,23060.0,22580.0,26530.0,25020.0,16840.0,20740.0,23820.0
1985-01-01,26980.0,28180.0,31090.0,22980.0,21340.0,21050.0,28960.0,20760.0,24870.0,22680.0,20930.0,22790.0,17360.0,21180.0,20520.0,30140.0,28210.0,24240.0,23860.0,16410.0,21940.0,20240.0,21800.0,23270.0,26400.0,30980.0,20420.0,23640.0,21450.0,21210.0,25170.0,21210.0,21890.0,22880.0,24630.0,20040.0,18140.0,17780.0,23740.0,25240.0,26000.0,28430.0,24000.0,15980.0,23250.0,22080.0
1986-01-01,29010.0,27190.0,32720.0,25630.0,22850.0,24370.0,29000.0,20750.0,26510.0,22730.0,22460.0,23930.0,19870.0,20890.0,23420.0,30600.0,30340.0,26610.0,26440.0,16510.0,21930.0,20330.0,21770.0,26220.0,30550.0,31720.0,19850.0,25030.0,21860.0,21510.0,25120.0,20950.0,24770.0,23810.0,26540.0,21970.0,19900.0,18260.0,24160.0,26280.0,24600.0,29720.0,26880.0,16460.0,26430.0,23560.0
1987-01-01,30150.0,26480.0,32860.0,29240.0,24490.0,26710.0,35020.0,20760.0,27080.0,22520.0,22190.0,25580.0,20670.0,21350.0,23600.0,34970.0,32240.0,27700.0,28080.0,18510.0,23720.0,20470.0,23270.0,26880.0,32340.0,34240.0,20760.0,26380.0,22760.0,22580.0,25770.0,21690.0,25040.0,25420.0,28290.0,25050.0,21150.0,21180.0,24720.0,26530.0,25420.0,30000.0,27320.0,17210.0,26370.0,27590.0
1988-01-01,30290.0,26210.0,36210.0,30510.0,25410.0,26570.0,33020.0,23450.0,29520.0,26290.0,24310.0,25570.0,19910.0,20500.0,26400.0,36550.0,33210.0,29470.0,29090.0,18170.0,23440.0,22230.0,25160.0,27980.0,34630.0,36290.0,19300.0,28920.0,24420.0,24090.0,27740.0,23670.0,27750.0,26740.0,29840.0,25530.0,22290.0,20860.0,24960.0,26310.0,28990.0,32650.0,32330.0,19350.0,29580.0,26420.0
1989-01-01,33010.0,26810.0,42320.0,32070.0,26090.0,27540.0,35040.0,24650.0,31300.0,25900.0,26270.0,26860.0,23280.0,22860.0,28220.0,36020.0,36090.0,30780.0,30190.0,19920.0,26500.0,23690.0,26320.0,29340.0,37530.0,39120.0,22600.0,31500.0,26410.0,25230.0,29020.0,23670.0,28530.0,28690.0,30120.0,23800.0,24110.0,22610.0,25890.0,30720.0,31300.0,34120.0,31960.0,21680.0,29120.0,29520.0
1990-01-01,33290.0,30730.0,38870.0,30800.0,26690.0,27560.0,38920.0,25310.0,32540.0,26930.0,27290.0,29920.0,24780.0,22410.0,27460.0,38860.0,36250.0,29940.0,31470.0,20180.0,27330.0,23380.0,27480.0,32020.0,40810.0,38730.0,25040.0,31590.0,26330.0,25260.0,30010.0,24380.0,29280.0,29010.0,31970.0,28740.0,24570.0,22590.0,28230.0,30140.0,31100.0,35070.0,32110.0,22140.0,30710.0,29460.0
1991-01-01,33660.0,31500.0,42150.0,32590.0,27250.0,27210.0,37250.0,26120.0,31880.0,27090.0,28550.0,29300.0,23760.0,25300.0,27870.0,36950.0,35710.0,32120.0,29480.0,19480.0,27930.0,24830.0,29550.0,32940.0,36030.0,40050.0,26540.0,31790.0,26850.0,25890.0,29790.0,25460.0,30190.0,30370.0,30840.0,27460.0,24640.0,24450.0,27730.0,28020.0,29160.0,36140.0,33970.0,23150.0,31130.0,29050.0
1992-01-01,34900.0,32480.0,40840.0,35680.0,27350.0,28800.0,42110.0,27700.0,31550.0,28530.0,28740.0,30350.0,23490.0,25440.0,29620.0,37200.0,36360.0,32270.0,30980.0,20570.0,27360.0,26530.0,30050.0,31910.0,39440.0,39000.0,25860.0,31050.0,27770.0,26960.0,31400.0,25280.0,31930.0,29880.0,30430.0,27580.0,26260.0,24320.0,27950.0,34250.0,32760.0,38200.0,33900.0,20270.0,33310.0,30210.0
1993-01-01,34070.0,34490.0,39520.0,36060.0,28550.0,31660.0,42660.0,31010.0,32860.0,29480.0,28660.0,29770.0,24380.0,26310.0,27440.0,39940.0,37060.0,32660.0,33680.0,22190.0,28680.0,26470.0,31010.0,35810.0,37960.0,40500.0,26760.0,31700.0,28820.0,28120.0,31290.0,26260.0,33140.0,31000.0,33510.0,26050.0,27740.0,25100.0,28730.0,35790.0,31070.0,36430.0,35660.0,22420.0,31770.0,29440.0
1994-01-01,35330.0,37830.0,41100.0,35870.0,29290.0,31470.0,42260.0,31540.0,35080.0,27860.0,33080.0,28320.0,26600.0,25680.0,30320.0,39200.0,40500.0,35280.0,33640.0,25400.0,30190.0,27630.0,31790.0,35870.0,35250.0,42280.0,26910.0,31900.0,30110.0,28280.0,31860.0,26990.0,31460.0,32070.0,31930.0,29850.0,29730.0,28640.0,30760.0,35720.0,35800.0,37650.0,33530.0,23560.0,35390.0,33140.0
1995-01-01,37010.0,40710.0,40240.0,34930.0,29750.0,34100.0,42850.0,32680.0,38070.0,33390.0,35520.0,30340.0,29810.0,27950.0,33860.0,41040.0,38570.0,36430.0,37930.0,26540.0,34830.0,27760.0,32930.0,36080.0,39170.0,43920.0,25990.0,33030.0,31980.0,29090.0,34940.0,26310.0,36370.0,34520.0,35360.0,29070.0,29580.0,29020.0,32040.0,36480.0,33820.0,36220.0,35570.0,24880.0,40960.0,31530.0
1996-01-01,38810.0,40950.0,42120.0,39310.0,30640.0,32500.0,41770.0,34710.0,39550.0,35150.0,33210.0,32590.0,32410.0,30260.0,34700.0,43990.0,39490.0,39230.0,40990.0,26680.0,34270.0,28680.0,34010.0,38540.0,39410.0,47470.0,25090.0,35410.0,35600.0,31470.0,34070.0,27440.0,35490.0,34900.0,36990.0,34670.0,29530.0,30790.0,33070.0,37040.0,32360.0,39210.0,36680.0,25250.0,40000.0,30950.0
