,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Maine,Maryland,Massachusetts,Michigan,Minnesota,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Dakota,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1968-01-01,2.1,,,1.65,1.25,1.4,1.25,,,1.25,1.15,,1.15,,,0.75,1.4,1.15,1.6,1.25,1.15,,,1.0,1.25,1.4,1.4,1.4,1.6,1.0,1.25,1.25,1.0,1.25,1.15,1.4,,,1.15,1.4,,1.6,1.0,1.25,1.2
1969-01-01,2.1,,,1.65,1.25,1.4,1.25,,,1.25,1.15,,1.15,,,0.75,1.4,1.15,1.6,1.25,1.15,,,1.0,1.25,1.4,1.4,1.4,1.6,1.0,1.25,1.25,1.0,1.25,1.15,1.4,,,1.15,1.4,,1.6,1.0,1.25,1.2
1970-01-01,2.1,,1.1,1.65,1.25,1.6,1.25,,,1.6,1.25,,1.25,,,0.75,1.6,1.3,1.6,1.25,1.15,,,1.0,1.3,1.6,1.5,1.6,1.6,1.25,1.45,1.25,1.0,1.25,1.3,1.6,1.0,,1.15,1.6,,1.6,1.0,1.3,1.3
1971-01-01,2.1,,1.1,1.65,1.25,1.6,1.25,,,1.6,1.25,,1.25,,,0.75,1.6,1.3,1.6,1.25,1.15,,,1.0,1.3,1.6,1.5,1.6,1.6,1.25,1.45,1.25,1.0,1.25,1.3,1.6,1.0,,1.15,1.6,,1.6,1.0,1.3,1.3
1972-01-01,2.1,,1.2,1.65,1.25,1.85,1.6,,1.25,1.6,1.4,1.4,1.25,,,0.75,1.8,1.6,1.75,1.6,1.6,,1.6,1.0,1.6,1.6,1.5,1.6,1.85,1.45,1.45,1.25,1.4,1.25,1.6,1.6,1.0,1.4,1.35,1.6,,1.6,1.2,1.45,1.5
1973-01-01,2.1,,1.2,1.65,1.25,1.85,1.6,,1.25,1.6,1.4,1.4,1.25,,,0.75,1.8,1.6,1.75,1.6,1.6,,1.6,1.0,1.6,1.6,1.5,1.6,1.85,1.45,1.45,1.25,1.4,1.25,1.6,1.6,1.0,1.4,1.35,1.6,,1.6,1.2,1.45,1.5
1974-01-01,2.1,,1.2,1.65,1.25,1.85,1.6,,1.25,1.6,1.4,1.4,1.25,,,0.75,1.8,1.6,1.75,1.6,1.6,,1.6,1.0,1.6,1.6,1.5,1.6,1.85,1.45,1.45,1.25,1.4,1.25,1.6,1.6,1.0,1.4,1.35,1.6,,1.6,1.2,1.45,1.5
1975-01-01,2.1,,1.2,1.65,1.25,1.85,1.6,,1.25,1.6,1.4,1.4,1.25,,,0.75,1.8,1.6,1.75,1.6,1.6,,1.6,1.0,1.6,1.6,1.5,1.6,1.85,1.45,1.45,1.25,1.4,1.25,1.6,1.6,1.0,1.4,1.35,1.6,,1.6,1.2,1.45,1.5
1976-01-01,2.8,,1.9,2.0,1.25,2.31,2.0,,1.25,2.4,1.6,2.1,1.25,,,1.6,2.3,2.3,2.1,2.2,1.8,,1.8,1.6,2.3,2.3,2.2,2.0,2.3,2.0,2.3,1.6,1.8,2.3,2.2,2.3,2.0,1.4,1.7,2.3,2.0,2.3,2.0,2.1,1.6
1977-01-01,2.8,,1.9,2.0,1.25,2.31,2.0,,1.25,2.4,1.6,2.1,1.25,,,1.6,2.3,2.3,2.1,2.2,1.8,,1.8,1.6,2.3,2.3,2.2,2.0,2.3,2.0,2.3,1.6,1.8,2.3,2.2,2.3,2.0,1.4,1.7,2.3,2.0,2.3,2.0,2.1,1.6
